iter	MAE
0	106.5873438
1	103.8733268
2	101.6181443
3	98.64140716
4	96.44597667
5	93.92668695
6	91.15931485
7	88.99745652
8	86.69527017
9	84.98972927
10	83.27043988
11	81.02337888
12	79.11195053
13	77.26160947
14	75.63752422
15	73.88022683
16	72.46320822
17	71.11860608
18	69.77392094
19	68.42714612
20	67.41809411
21	66.44154608
22	65.63840982
23	64.88597216
24	63.73390254
25	62.98656823
26	61.90982921
27	60.88037614
28	60.29758957
29	59.42440374
30	58.71358754
31	57.97176043
32	57.3780611
33	56.88671741
34	56.30668448
35	56.06240803
36	55.71629673
37	54.8357899
38	54.4017804
39	54.07914906
40	53.72804431
41	53.23153621
42	52.59934274
43	52.2420824
44	51.61010612
45	51.25456305
46	50.80881177
47	50.35046026
48	49.96961537
49	49.60340115
50	49.35189066
51	49.02119592
52	48.70453433
53	48.55264211
54	48.2371687
55	47.8889034
56	47.52272833
57	47.45457026
58	47.21402071
59	46.95386984
60	46.81212531
61	46.55365813
62	46.36971339
63	46.19794997
64	45.96562975
65	45.62763176
66	45.36317675
67	44.94003554
68	44.83541489
69	44.3049506
70	44.11106744
71	44.08399978
72	43.66322784
73	43.48801399
74	43.29712915
75	43.1492769
76	42.97755835
77	42.79803227
78	42.65038589
79	42.53383506
80	42.45311916
81	42.20113004
82	42.05156119
83	41.95932765
84	41.85889158
85	41.76641211
86	41.60443889
87	41.5191881
88	41.42517732
89	41.38496574
90	40.89091564
91	40.74869636
92	40.52154976
93	40.44248869
94	40.3590564
95	39.91032248
96	39.60759378
97	39.55031493
98	39.30357783
99	39.22901763
100	39.10545966
101	39.03198008
102	38.95444202
103	38.8609791
104	38.82244557
105	38.6539254
106	38.48785827
107	38.2052077
108	38.14846693
109	38.0814787
110	37.8130241
111	37.73616207
112	37.36076936
113	37.29275257
114	36.38695346
115	35.87797971
116	35.82173386
117	35.75582025
118	35.72012085
119	35.19171753
120	34.64945789
121	34.51265725
122	34.45031535
123	33.98627969
124	33.89953899
125	33.90358144
126	33.20500614
127	33.13172868
128	32.72803693
129	32.60799251
130	32.2117934
131	32.04776904
132	31.99790322
133	31.91749415
134	31.82278722
135	31.63064139
136	31.40499193
137	31.30534834
138	31.03067777
139	30.58396375
140	30.51157617
141	30.45809764
142	30.39119355
143	30.25733103
144	29.60284534
145	29.32980441
146	29.28604578
147	29.09301062
148	28.73706556
149	28.36171904
150	27.85196814
151	27.66580365
152	27.45276075
153	27.36842814
154	27.20740482
155	26.64853153
156	26.46943729
157	26.40175526
158	26.35405833
159	26.07603899
160	26.04411774
161	25.90235187
162	25.85648543
163	25.66673814
164	25.53705611
165	25.51407993
166	25.41421611
167	25.33726911
168	25.25398723
169	25.21725658
170	25.06791817
171	24.865628
172	24.13430429
173	23.97635016
174	23.92651807
175	23.73941657
176	23.54931806
177	23.50536638
178	23.39186671
179	23.36949567
180	23.32512321
181	23.0619987
182	22.54394322
183	22.49184601
184	22.3327465
185	22.29586768
186	21.78452107
187	21.61574665
188	21.56553285
189	21.51700186
