iter	Passed	Remaining
0	32	16354
1	54	13500
2	71	11871
3	90	11262
4	113	11271
5	134	11083
6	155	10962
7	173	10657
8	192	10486
9	209	10267
10	228	10145
11	246	10037
12	275	10321
13	292	10168
14	313	10125
15	333	10090
16	352	10011
17	372	9972
18	391	9912
19	412	9897
20	435	9922
21	454	9874
22	473	9829
23	494	9810
24	516	9816
25	539	9839
26	564	9889
27	587	9899
28	609	9895
29	630	9877
30	650	9835
31	672	9832
32	693	9816
33	715	9807
34	729	9687
35	745	9610
36	767	9598
37	787	9573
38	807	9539
39	825	9496
40	848	9497
41	870	9495
42	891	9477
43	911	9446
44	931	9420
45	951	9391
46	971	9359
47	990	9324
48	1008	9278
49	1028	9255
50	1047	9219
51	1067	9192
52	1088	9183
53	1114	9204
54	1139	9223
55	1165	9238
56	1189	9242
57	1207	9198
58	1225	9158
59	1245	9131
60	1265	9105
61	1285	9078
62	1304	9046
63	1322	9012
64	1342	8985
65	1361	8956
66	1381	8930
67	1403	8913
68	1423	8893
69	1443	8867
70	1463	8842
71	1482	8815
72	1502	8790
73	1523	8768
74	1542	8740
75	1577	8799
76	1597	8773
77	1620	8767
78	1641	8745
79	1659	8710
80	1677	8676
81	1697	8652
82	1716	8621
83	1733	8587
84	1752	8556
85	1771	8528
86	1791	8502
87	1812	8487
88	1832	8464
89	1853	8444
90	1874	8426
91	1898	8419
92	1921	8411
93	1950	8422
94	1982	8453
95	2004	8435
96	2025	8416
97	2046	8395
98	2066	8368
99	2087	8349
100	2118	8370
101	2147	8380
102	2170	8366
103	2191	8344
104	2212	8324
105	2233	8301
106	2253	8276
107	2273	8250
108	2291	8218
109	2311	8194
110	2330	8167
111	2350	8143
112	2372	8126
113	2394	8108
114	2415	8085
115	2436	8066
116	2453	8031
117	2476	8016
118	2492	7980
119	2515	7964
120	2539	7952
121	2560	7932
122	2582	7915
123	2604	7898
124	2627	7883
125	2652	7874
126	2676	7860
127	2699	7844
128	2722	7828
129	2743	7808
130	2766	7791
131	2788	7774
132	2804	7738
133	2825	7718
134	2845	7694
135	2866	7670
136	2884	7642
137	2903	7616
138	2923	7592
139	2943	7570
140	2965	7549
141	2985	7526
142	3000	7490
143	3019	7464
144	3039	7440
145	3055	7408
146	3074	7383
147	3096	7364
148	3116	7341
149	3132	7309
150	3160	7304
151	3180	7281
152	3201	7260
153	3217	7227
154	3239	7210
155	3264	7199
156	3283	7173
157	3316	7179
158	3337	7157
159	3360	7142
160	3384	7125
161	3409	7112
162	3432	7096
163	3455	7079
164	3473	7052
165	3495	7033
166	3516	7012
167	3540	6997
168	3558	6969
169	3582	6953
170	3598	6924
171	3622	6907
172	3639	6879
173	3663	6863
174	3681	6836
175	3708	6827
176	3732	6810
177	3755	6792
178	3777	6774
179	3801	6758
180	3820	6734
181	3846	6721
182	3865	6695
183	3890	6682
184	3910	6658
185	3932	6639
186	3953	6616
187	3977	6601
188	4007	6595
189	4032	6579
