index,pdb_id,uniprot_id,family,true_Em,gpr_pred,gpr_pred_raw,gpr_sigma,pred_4q,pred_q_used,pred_final,quantum_delta,nudge,delta_q_used,abs_err_gpr,abs_err_4q,abs_err_final,complexity_score,used_model,Around_N5_Flexibility,Around_N5_HBondCap,homo_lumo_gap,quantum_polarizability,n5_spin_density,n10_spin_density,st_gap,magnetic_sensitivity_index
19,1CF3,P13006,reductase,-64.0,-325.8918252472158,-325.8918252472158,76.33730308815822,-290.27232539806454,-765.3197811464328,-325.8918252472158,-439.42795589921695,0.0,-439.42795589921695,261.8918252472158,226.27232539806454,261.8918252472158,0.9321761806198617,hybrid_16q,1.39,2.0,0.017099068028256115,0.335195530726257,3.0140462037665476e-32,1.903401342663208e-27,0.017099068028256115,7.613725932500982e-27
50,1IJH,P12676,reductase,-354.0,-161.90776150830487,-161.90776150830487,78.21816582844264,-144.2807412665913,-340.9127882077054,-161.90776150830487,-179.0050266994005,0.0,-179.0050266994005,192.09223849169513,209.7192587334087,192.09223849169513,1.0071761806198618,hybrid_16q,1.54,2.0,0.015786891349336418,0.30927835051546393,1.2076564810635059e-31,7.156473450056587e-28,0.015786891349336418,2.8630724426150604e-27
127,4MJW,Q7X2H8,reductase,73.0,-115.81041246718108,-68.82883892749106,92.03451042035194,-102.59081566521539,-107.10967493671609,-115.81041246718108,8.700737530464991,0.24923044001144445,8.700737530464991,188.8104124671811,175.5908156652154,188.8104124671811,4.236561912380441,hybrid_16q,1.29,5.0,0.03563205702121082,0.8875739644970415,4.058729946707724e-32,1.45453208109172e-31,0.03563205702121082,7.4416203030499696e-31
82,1UMK,P00387,reductase,-2.0,-190.18025063285214,-190.18025063285214,81.64853815643542,-166.32513775126043,-446.5332674487109,-190.18025063285214,-256.3530168158587,0.0,-256.3530168158587,188.18025063285214,164.32513775126043,188.18025063285214,2.028035307541012,hybrid_16q,1.41,1.0,0.004281269894299,0.16574585635359115,7.689528195340778e-27,1.3219387504003958e-31,0.004281269894299,3.075864155686327e-26
63,1NG4,O31616,reductase,-359.0,-178.54431752552532,-178.54431752552532,78.24657633536418,-165.82028558721117,-466.3519836361287,-178.54431752552532,-287.80766611060335,0.0,-287.80766611060335,180.45568247447468,193.17971441278883,180.45568247447468,2.863655579674761,hybrid_16q,1.26,0.0,0.00685603093004028,0.0,0.5,0.49999999999999967,0.00685603093004028,3.9999999999999987
83,1VAO,P56216,nitroreductase,55.0,-122.2241437578751,-77.99131219991108,83.56508577004797,-84.65749440411425,-163.19311605112122,-122.2241437578751,-40.968972293246125,-2.0737467796985243,-40.968972293246125,177.22414375787508,139.65749440411423,177.22414375787508,1.9634022360629353,hybrid_16q,1.39,2.0,0.019293028586879035,0.335195530726257,2.780336959629266e-31,8.515512777589619e-32,0.019293028586879035,1.4527552949552912e-30
95,2GMJ,P55931,reductase,11.0,-160.5721006781605,-160.5721006781605,84.75854602552211,-141.87123273122089,-375.2347357372296,-160.5721006781605,-214.6626350590691,0.0,-214.6626350590691,171.5721006781605,152.87123273122089,171.5721006781605,1.9035303244691457,hybrid_16q,1.41,1.0,0.004280421789519817,0.16574585635359115,7.375671865883102e-32,2.7835752194291655e-31,0.004280421789519817,1.4084569624069903e-30
29,1E0Y,P56216,reductase,31.0,-131.2254926499597,-90.85038204574624,92.03447791536071,-85.40145488451557,-209.79962030949378,-131.2254926499597,-78.57412765953407,-3.8263045266296207,-78.57412765953407,162.2254926499597,116.40145488451557,162.2254926499597,2.080287799076946,hybrid_16q,1.39,1.0,0.004360257449171845,0.1675977653631285,1.9289316101481688e-32,2.716591173741556e-32,0.004360257449171845,1.8582091135558897e-31
132,5K9B,P00324,reductase,-375.0,-229.55118156542966,-229.55118156542966,80.63599055395237,-204.08869291653272,-556.6908819658836,-229.55118156542966,-327.13970040045393,0.0,-327.13970040045393,145.44881843457034,170.91130708346728,145.44881843457034,1.8112778329332138,hybrid_16q,1.35,1.0,0.00441283509773549,0.17142857142857143,9.505703191760114e-33,4.013529911496378e-32,0.00441283509773549,1.9856400922689557e-31
47,1HUV,P05414,reductase,-91.0,-229.55118156542966,-229.55118156542966,80.63599055395237,-204.08869291653272,-556.6908819658836,-229.55118156542966,-327.13970040045393,0.0,-327.13970040045393,138.55118156542966,113.08869291653272,138.55118156542966,1.8112778329332138,hybrid_16q,1.35,1.0,0.00441283509773549,0.17142857142857143,9.505703191760114e-33,4.013529911496378e-32,0.00441283509773549,1.9856400922689557e-31
